fase,gnero,anoingresso,instituiodeensino,inde22,iaa,ieg,ips,ida,matem,portug,ingls,ipv,ian,defas,ano,inde23,ipp,mat,por,ing,defasagem,escola,ativoinativo,ativoinativo1,aluno_id,risco_defasagem,ida_ieg_interaction,ipp_ips_interaction,ida_ieg_ratio,mean_indicators,ida_lag1,ieg_lag1,ips_lag1,ida_delta,ieg_delta,gnero_encoded,fase_encoded
NAO_INFORMADO,Feminino,2016,Escola Pública,5.783,8.3,4.1,5.6,4.0,2.7,3.5,6.0,7.278,5.0,-1.0,2022,,,,,,,,,,RA-1,1,16.4,,0.9753718605218239,5.8556,,,,,,0,79
FASE 8,Feminino,2016,Privada *Parcerias com Bolsa 100%,5.783,,,,,,,,,10.0,,2023,,,,,,0.0,,,,RA-1,0,,,,,4.0,4.1,5.6,,,0,78
8E,Feminino,2021,Privada *Parcerias com Bolsa 100%,5.783132947712418,,0.0,,,,,,,10.0,,2024,,,,,,0.0,Universidade Santo Amaro (UNISA),Cursando,Cursando,RA-1,0,,,,0.0,,,,,,0,68
NAO_INFORMADO,Feminino,2021,Escola Pública,5.784,8.3,5.2,5.0,4.1,3.3,2.6,6.4,7.056,5.0,-1.0,2022,,,,,,,,,,RA-10,1,21.32,,0.7883099403960775,5.9312000000000005,,,,,,0,79
NAO_INFORMADO,Feminino,2019,Rede Decisão,7.618,8.8,7.8,5.0,7.6,7.0,7.8,8.1,7.25,10.0,1.0,2022,,,,,,,,,,RA-100,0,59.279999999999994,,0.9742340725548007,7.290000000000001,,,,,,0,79
ALFA,Feminino,2023,Pública,,8.5,9.4,3.77,7.0,,,,8.92,10.0,,2023,,6.25,7.0,7.0,,0.0,,,,RA-1000,0,65.8,23.5625,0.7446016381236039,7.3066666666666675,,,,,,0,70
1N,Feminino,2023,Pública,,9.002,9.5454545455,6.26,7.75,,,,7.835,10.0,,2024,7.9162,8.125,7.5,8.0,,0.0,EE Helio Luiz Dobrochinski Prof,Cursando,Cursando,RA-1000,0,73.977272727625,50.8625,0.8118197141213215,8.08624242425,7.0,9.4,3.77,0.75,0.1454545454999998,0,11
ALFA,Feminino,2023,Pública,,9.0,9.1,7.52,7.8,,,,9.17,5.0,,2023,,7.5,8.3,7.3,,-1.0,,,,RA-1001,1,70.97999999999999,56.4,0.8570486759696737,8.348333333333334,,,,,,0,70
1N,Feminino,2023,Pública,,7.502,9.347826087,7.51,7.75,,,,7.92,5.0,,2024,8.1162,7.916666667,6.5,9.0,,-1.0,EE Helio Luiz Dobrochinski Prof,Cursando,Cursando,RA-1001,1,72.44565217425,59.45416666917,0.8289810857404605,7.991082125666668,7.8,9.1,7.52,-0.04999999999999982,0.24782608699999997,0,11
ALFA,Feminino,2023,Pública,,9.0,9.7,7.52,7.0,,,,8.92,5.0,,2023,,6.25,7.0,7.0,,-1.0,,,,RA-1002,1,67.89999999999999,47.0,0.7215750953509948,8.065,,,,,,0,70
ALFA,Feminino,2023,Pública,,9.002,7.833333333500001,7.51,9.25,,,,8.25,5.0,,2024,7.9012,7.5,10.0,8.5,,-1.0,EM Cecilia Cristina de Oliveira Rodrigues,Cursando,Cursando,RA-1002,1,72.45833333487501,56.324999999999996,1.1807003361021846,8.22422222225,7.0,9.7,7.52,2.25,-1.8666666664999987,0,70
ALFA,Masculino,2023,Pública,,9.0,8.5,7.52,4.0,,,,8.75,10.0,,2023,,7.5,8.0,0.0,,0.0,,,,RA-1003,0,34.0,56.4,0.4705328784848842,7.544999999999999,,,,,,1,70
ALFA,Masculino,2023,Pública,,8.002,8.6944444445,7.51,8.25,,,,7.5,5.0,,2024,7.6522,6.875,10.0,6.5,,-1.0,EM Maria Ignez Concelles Irma Ines,Cursando,Cursando,RA-1003,1,71.729166667125,51.63125,0.9487726651187163,7.80524074075,4.0,8.5,7.52,4.25,0.1944444445000002,1,70
ALFA,Feminino,2023,Pública,,9.0,9.6,7.52,7.9,,,,7.42,10.0,,2023,,6.875,6.5,9.2,,0.0,,,,RA-1004,0,75.84,51.699999999999996,0.822830955108843,8.0525,,,,,,0,70
ALFA,Feminino,2023,Pública,,9.502,9.25,7.51,7.5,,,,7.5,5.0,,2024,8.3137,7.5,7.5,7.5,,-1.0,EM Pedro Antonio de Almeida,Cursando,Cursando,RA-1004,1,69.375,56.324999999999996,0.8107231650632365,8.127,7.9,9.6,7.52,-0.40000000000000036,-0.34999999999999964,0,70
ALFA,Masculino,2023,Pública,,9.5,7.9,7.52,8.8,,,,8.165,10.0,,2023,,7.5,8.4,9.2,,0.0,,,,RA-1005,0,69.52000000000001,56.4,1.1137830654347551,8.230833333333333,,,,,,1,70
ALFA,Feminino,2023,Pública,,9.0,9.3,7.52,8.7,,,,8.0,10.0,,2023,,7.5,8.7,8.6,,0.0,,,,RA-1006,0,80.91,56.4,0.9353832921191269,8.336666666666666,,,,,,0,70
ALFA,Feminino,2023,Pública,,8.502,8.4444444445,7.51,5.0,,,,7.5,5.0,,2024,8.5922,7.5,5.0,5.0,,-1.0,EM Pedro Antonio de Almeida,Cursando,Cursando,RA-1006,1,42.2222222225,56.324999999999996,0.5920351537279004,7.4094074074166665,8.7,9.3,7.52,-3.6999999999999993,-0.8555555555000005,0,70
ALFA,Masculino,2023,Pública,,9.0,7.4,7.52,8.3,,,,7.68,10.0,,2023,,7.5,8.1,8.5,,0.0,,,,RA-1007,0,61.42000000000001,56.4,1.1214700716119443,7.8999999999999995,,,,,,1,70
ALFA,Masculino,2023,Pública,,9.0,8.6,7.52,8.4,,,,7.5,10.0,,2023,,5.9375,7.5,9.2,,0.0,,,,RA-1008,0,72.24,44.65,0.9766306243460064,7.826249999999999,,,,,,1,70
ALFA,Masculino,2023,Pública,,7.002,6.483957219,7.51,7.0,,,,7.5,5.0,,2024,8.13595,7.1875,6.5,7.5,,-1.0,EE Joaquim Mendes Feliz,Cursando,Cursando,RA-1008,1,45.387700533,53.978125,1.0794211532330542,7.1139095365000005,8.4,8.6,7.52,-1.4000000000000004,-2.116042781,1,70
ALFA,Masculino,2023,Pública,,0.0,9.0,3.77,8.8,,,,7.84,10.0,,2023,,7.5,8.3,9.2,,0.0,,,,RA-1009,0,79.2,28.275,0.9776691478724587,6.151666666666666,,,,,,1,70
ALFA,Masculino,2023,Pública,,8.002,6.8863636365000005,2.51,7.5,,,,6.553333333,5.0,,2024,7.245,6.5625,10.0,5.0,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1009,1,51.64772727375001,16.471874999999997,1.0889507794032096,6.335699494916667,8.8,9.0,3.77,-1.3000000000000007,-2.1136363634999995,1,70
NAO_INFORMADO,Feminino,2021,Escola Pública,7.305,7.9,8.3,7.5,7.6,7.2,6.5,9.2,6.833,5.0,-1.0,2022,,,,,,,,,,RA-101,1,63.080000000000005,,0.9155523430911938,7.626599999999999,,,,,,0,79
ALFA,Masculino,2023,Pública,,9.5,10.0,3.77,9.4,,,,8.59,10.0,,2023,,7.8125,9.0,9.8,,0.0,,,,RA-1010,0,94.0,29.453125,0.9399060093990602,8.17875,,,,,,1,70
ALFA,Masculino,2023,Pública,,9.5,8.6,3.77,5.2,,,,7.675,10.0,,2023,,7.1875,5.5,4.8,,0.0,,,,RA-1011,0,44.72,27.096875,0.6045808626903849,6.98875,,,,,,1,70
ALFA,Feminino,2023,Pública,,10.0,9.9,3.77,6.6,,,,7.845,10.0,,2023,,7.1875,7.0,6.2,,0.0,,,,RA-1012,0,65.34,27.096875,0.6665993334006666,7.550416666666666,,,,,,0,70
ALFA,Feminino,2023,Pública,,9.502,9.523809524,2.51,9.75,,,,8.443333333,5.0,,2024,7.96495,8.125,10.0,9.5,,-1.0,EE Joaquim Mendes Feliz,Cursando,Cursando,RA-1012,1,92.857142859,20.393749999999997,1.023642517515188,7.975690476166666,6.6,9.9,3.77,3.1500000000000004,-0.37619047599999966,0,70
ALFA,Masculino,2023,Pública,,9.0,9.6,4.39,8.3,,,,5.76,10.0,,2023,,5.625,7.0,9.5,,0.0,,,,RA-1013,0,79.68,24.693749999999998,0.864493281949797,7.1125,,,,,,1,70
ALFA,Masculino,2023,Pública,,9.002,5.693779904,2.51,7.75,,,,4.72,5.0,,2024,7.6237,5.0,8.0,7.5,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1013,1,44.126794256000004,12.549999999999999,1.3608954394455908,5.779296650666667,8.3,9.6,4.39,-0.5500000000000007,-3.9062200959999993,1,70
ALFA,Feminino,2023,Pública,,9.0,9.7,3.77,8.2,,,,8.255,10.0,,2023,,7.5,7.7,8.7,,0.0,,,,RA-1014,0,79.53999999999999,28.275,0.845273683125451,7.737500000000001,,,,,,0,70
ALFA,Feminino,2023,Pública,,8.502,7.8863636365,2.51,5.25,,,,7.0,5.0,,2024,8.2582,6.875,6.5,4.0,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1014,1,41.403409091625,17.256249999999998,0.6656216502691482,6.33722727275,8.2,9.7,3.77,-2.9499999999999993,-1.8136363634999997,0,70
FASE 1,Feminino,2023,Pública,,10.0,9.3,6.27,6.3,,,,7.786666667,5.0,,2023,,7.34375,5.0,7.6,,-1.0,,,,RA-1015,1,58.59,46.045312499999994,0.6773465218793677,7.833402777833334,,,,,,0,71
2B,Feminino,2023,Pública,,7.918,7.8214285715,7.51,4.0,,,,5.66,10.0,,2024,7.538908333,6.041666667,2.0,6.0,,0.0,EE Alexandre Rodrigues Nogueira,Cursando,Cursando,RA-1015,0,31.285714286,45.37291666917,0.511350147008498,6.491849206416667,6.3,9.3,6.27,-2.3,-1.4785714285000005,0,15
FASE 1,Feminino,2023,Pública,,10.0,9.5,7.52,6.7,,,,7.73,5.0,,2023,,7.34375,5.8,7.5,,-1.0,,,,RA-1016,1,63.65,55.224999999999994,0.7051889274813178,8.132291666666667,,,,,,0,71
FASE 1,Masculino,2023,Pública,,0.0,8.0,5.02,7.7,,,,8.116666667,5.0,,2023,,7.5,7.0,8.3,,-1.0,,,,RA-1017,1,61.6,37.65,0.962379702537183,6.0561111111666674,,,,,,1,71
2C,Masculino,2023,Pública,,9.502,7.8095238095,6.26,5.0,,,,7.443333333,10.0,,2024,6.505333333,7.1875,2.5,7.5,,0.0,EE João Ortiz Rodrigues,Cursando,Cursando,RA-1017,0,39.0476190475,44.99375,0.6401619304864625,7.200392857083333,7.7,8.0,5.02,-2.7,-0.1904761905000001,1,16
FASE 1,Masculino,2023,Pública,,0.0,8.5,5.02,6.3,,,,8.06,10.0,,2023,,7.5,5.8,6.8,,0.0,,,,RA-1018,0,53.55,37.65,0.7410892836136925,5.896666666666667,,,,,,1,71
1A,Masculino,2023,Pública,,8.502,7.727272727,6.26,8.25,,,,8.45,5.0,,2024,6.824,8.4375,8.5,8.0,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1018,1,63.74999999775,52.81875,1.0675089106492397,7.937795454500001,6.3,8.5,5.02,1.9500000000000002,-0.7727272730000001,1,0
FASE 1,Feminino,2023,Pública,,7.5,9.1,5.02,4.3,,,,7.836666667,10.0,,2023,,6.875,0.5,8.0,,1.0,,,,RA-1019,0,39.129999999999995,34.512499999999996,0.47247555213712783,6.771944444500001,,,,,,0,71
1A,Feminino,2023,Pública,,9.502,9.3073593075,6.26,8.75,,,,8.616666667,10.0,,2024,7.177033333,7.8125,9.5,8.0,,0.0,EM Etelvina Delfim Simões,Cursando,Cursando,RA-1019,0,81.43939394062501,48.90625,0.9400152820647872,8.374754329083332,4.3,9.1,5.02,4.45,0.20735930750000087,0,0
NAO_INFORMADO,Masculino,2019,Escola Pública,6.922,6.7,7.7,6.9,5.7,4.7,6.8,5.5,6.0,10.0,0.0,2022,,,,,,,,,,RA-102,0,43.89,,0.7401636151149201,6.6,,,,,,1,79
FASE 1,Feminino,2023,Pública,,10.0,9.1,2.52,6.1,,,,8.056666667,10.0,,2023,,7.1875,4.3,7.8,,0.0,,,,RA-1020,0,55.51,18.1125,0.6702560158224371,7.1606944445,,,,,,0,71
1A,Feminino,2023,Pública,,9.002,9.7727272725,6.88,9.0,,,,8.84,10.0,,2024,7.612283333,8.4375,10.0,8.0,,0.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1020,0,87.95454545249999,58.05,0.9208360074997173,8.655371212083333,6.1,9.1,2.52,2.9000000000000004,0.6727272724999995,0,0
FASE 1,Masculino,2023,Pública,,8.0,9.2,3.77,3.3,,,,7.893333333,10.0,,2023,,7.1875,2.5,4.0,,0.0,,,,RA-1021,0,30.359999999999996,27.096875,0.3586566677535051,6.5584722221666665,,,,,,1,71
1A,Masculino,2023,Pública,,9.502,9.318181818,7.51,8.0,,,,7.95,5.0,,2024,6.964616667,8.4375,9.0,7.0,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1021,1,74.545454544,63.365625,0.8584444596357161,8.452946969666668,3.3,9.2,3.77,4.7,0.11818181800000005,1,0
FASE 1,Masculino,2023,Pública,,8.5,8.5,3.77,4.7,,,,7.893333333,10.0,,2023,,7.1875,4.7,4.7,,0.0,,,,RA-1022,0,39.95,27.096875,0.5528761322197389,6.758472222166667,,,,,,1,71
1A,Masculino,2023,Pública,,9.502,9.318181818,6.26,6.5,,,,8.116666667,5.0,,2024,7.164616667,7.5,5.5,7.5,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1022,1,60.568181816999996,46.949999999999996,0.6974861234540194,7.866141414166667,4.7,8.5,3.77,1.7999999999999998,0.8181818179999993,1,0
FASE 1,Feminino,2023,Pública,,10.0,10.0,6.27,9.1,,,,9.06,10.0,,2023,,8.75,8.5,9.7,,0.0,,,,RA-1023,0,91.0,54.8625,0.9099090090990901,8.863333333333335,,,,,,0,71
2B,Feminino,2023,Pública,,9.502,9.511904762,9.375,9.5,,,,9.563333333,10.0,,2024,9.1342,8.958333333,9.0,10.0,,0.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1023,0,90.363095239,83.984374996875,0.9986434467365269,9.401761904666666,9.1,10.0,6.27,0.40000000000000036,-0.48809523799999965,0,15
FASE 1,Feminino,2023,Pública,,0.0,10.0,6.27,9.8,,,,8.95,5.0,,2023,,9.21875,10.0,9.5,,-1.0,,,,RA-1024,1,98.0,57.801562499999996,0.9799020097990202,7.373124999999999,,,,,,0,71
1B,Feminino,2023,Pública,,8.002,10.0,7.51,10.0,,,,8.783333333,5.0,,2024,7.788875,8.4375,10.0,10.0,,-1.0,Escola João Paulo II,Cursando,Cursando,RA-1024,1,100.0,63.365625,0.9999000099990002,8.7888055555,9.8,10.0,6.27,0.1999999999999993,0.0,0,1
FASE 1,Masculino,2023,Pública,,8.5,8.9,7.52,7.5,,,,7.836666667,10.0,,2023,,7.65625,7.5,7.5,,0.0,,,,RA-1025,0,66.75,57.574999999999996,0.8426019548365352,7.985486111166668,,,,,,1,71
1A,Masculino,2023,Pública,,9.002,7.727272727,7.51,9.0,,,,7.783333333,5.0,,2024,8.215158333,8.4375,10.0,8.0,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1025,1,69.545454543,63.365625,1.1645551752537162,8.24335101,7.5,8.9,7.52,1.5,-1.1727272730000005,1,0
FASE 1,Feminino,2023,Pública,,8.5,9.8,7.52,3.2,,,,7.06,2.5,,2023,,6.40625,2.3,4.0,,-3.0,,,,RA-1026,1,31.360000000000003,48.175,0.32649729619426593,7.081041666666667,,,,,,0,71
FASE 1,Feminino,2023,Pública,,9.5,9.7,7.52,6.0,,,,8.333333333,5.0,,2023,,7.5,4.2,7.7,,-1.0,,,,RA-1027,1,58.199999999999996,56.4,0.6184929388722813,8.092222222166667,,,,,,0,71
2B,Feminino,2023,Pública,,9.502,10.0,7.51,5.25,,,,8.39,10.0,,2024,7.748866667,7.916666667,6.0,4.5,,0.0,EE Bairro Boa Vista,Cursando,Cursando,RA-1027,0,52.5,59.45416666917,0.5249475052494751,8.094777777833334,6.0,9.7,7.52,-0.75,0.3000000000000007,0,15
FASE 1,Masculino,2023,Pública,,0.0,9.2,7.52,5.0,,,,7.946666667,5.0,,2023,,7.34375,5.0,5.0,,-1.0,,,,RA-1028,1,46.0,55.224999999999994,0.5434191935659168,6.168402777833333,,,,,,1,71
1B,Masculino,2023,Pública,,8.002,7.055335968,5.63,7.5,,,,8.393333333,5.0,,2024,6.415708333,6.875,6.0,9.0,,-2.0,EE Olivia de Faria Nogueira,Cursando,Cursando,RA-1028,1,52.91501976,38.70625,1.062874561813948,7.242611550166667,5.0,9.2,7.52,2.5,-2.1446640319999997,1,1
FASE 1,Feminino,2023,Pública,,10.0,6.3,3.77,5.4,,,,8.006666667,10.0,,2023,,7.5,3.5,7.2,,0.0,,,,RA-1029,0,34.02,28.275,0.8570068243136011,6.829444444499999,,,,,,0,71
1C,Feminino,2023,Pública,,9.002,8.7954545455,6.885,8.75,,,,7.25,5.0,,2024,7.058533333,7.5,8.0,9.5,,-1.0,EE Dom Pedro Villas Boas de Souza,Cursando,Cursando,RA-1029,1,76.960227273125,51.637499999999996,0.9947189466779244,8.030409090916667,5.4,6.3,3.77,3.3499999999999996,2.4954545455000003,0,2
NAO_INFORMADO,Feminino,2020,Rede Decisão,8.107,7.9,8.7,7.5,7.3,7.3,7.3,7.3,7.708,10.0,1.0,2022,,,,,,,,,,RA-103,0,63.50999999999999,,0.8389840248247329,7.821599999999999,,,,,,0,79
FASE 5,Feminino,2020,Privada - Programa de Apadrinhamento,8.107,8.3,9.2,5.0,7.1,,,,8.09,10.0,,2023,,8.125,7.3,6.3,7.7,1.0,,,,RA-103,0,65.32,40.625,0.7716552548636019,7.635833333333333,7.3,8.7,7.5,-0.20000000000000018,0.5,0,75
