fase,gnero,anoingresso,instituiodeensino,inde22,iaa,ieg,ips,ida,matem,portug,ingls,ipv,ian,defas,ano,inde23,ipp,mat,por,ing,defasagem,escola,ativoinativo,ativoinativo1,aluno_id,risco_defasagem
NAO_INFORMADO,Feminino,2016,Escola Pública,5.783,8.3,4.1,5.6,4.0,2.7,3.5,6.0,7.278,5.0,-1.0,2022,,,,,,,,,,RA-1,1
NAO_INFORMADO,Feminino,2017,Rede Decisão,7.055,8.8,5.2,6.3,6.8,6.3,4.5,9.7,6.778,10.0,0.0,2022,,,,,,,,,,RA-2,0
NAO_INFORMADO,Feminino,2016,Rede Decisão,6.591,0.0,7.9,5.6,5.6,5.8,4.0,6.9,7.556,10.0,0.0,2022,,,,,,,,,,RA-3,0
NAO_INFORMADO,Masculino,2017,Rede Decisão,5.951,8.8,4.5,5.6,5.0,2.8,3.5,8.7,5.278,10.0,0.0,2022,,,,,,,,,,RA-4,0
NAO_INFORMADO,Feminino,2016,Rede Decisão,7.427,7.9,8.6,5.6,5.2,7.0,2.9,5.7,7.389,10.0,0.0,2022,,,,,,,,,,RA-5,0
NAO_INFORMADO,Feminino,2021,Escola Pública,5.848,7.9,4.5,7.5,3.3,2.3,5.3,2.3,7.222,5.0,-1.0,2022,,,,,,,,,,RA-6,1
NAO_INFORMADO,Masculino,2017,Rede Decisão,6.818,0.0,8.4,7.5,7.6,8.2,5.7,9.0,7.667,5.0,-1.0,2022,,,,,,,,,,RA-7,1
NAO_INFORMADO,Feminino,2018,Escola Pública,4.786,7.1,4.6,6.3,1.6,1.2,0.7,2.9,6.278,5.0,-1.0,2022,,,,,,,,,,RA-8,1
NAO_INFORMADO,Feminino,2019,Escola Pública,8.109,8.8,9.5,7.5,6.7,5.5,6.0,8.7,9.5,5.0,-1.0,2022,,,,,,,,,,RA-9,1
NAO_INFORMADO,Feminino,2021,Escola Pública,5.784,8.3,5.2,5.0,4.1,3.3,2.6,6.4,7.056,5.0,-1.0,2022,,,,,,,,,,RA-10,1
NAO_INFORMADO,Feminino,2016,Escola Pública,5.323,9.2,4.2,5.0,3.0,1.8,2.5,4.5,6.389,5.0,-1.0,2022,,,,,,,,,,RA-11,1
NAO_INFORMADO,Feminino,2020,Escola Pública,4.832,0.0,4.0,6.9,1.5,2.7,1.1,0.7,6.389,10.0,0.0,2022,,,,,,,,,,RA-12,0
NAO_INFORMADO,Masculino,2016,Escola Pública,6.902,7.9,7.4,7.5,4.7,3.5,5.5,5.2,8.056,5.0,-1.0,2022,,,,,,,,,,RA-13,1
NAO_INFORMADO,Masculino,2022,Escola Pública,6.793,7.9,8.3,7.5,4.0,8.0,0.0,,7.75,5.0,-1.0,2022,,,,,,,,,,RA-14,1
NAO_INFORMADO,Masculino,2022,Escola Pública,7.783,8.8,10.0,7.5,7.3,8.0,6.5,,7.292,5.0,-1.0,2022,,,,,,,,,,RA-15,1
NAO_INFORMADO,Masculino,2022,Escola Pública,6.112,7.9,8.3,5.0,3.5,7.0,0.0,,6.333,5.0,-1.0,2022,,,,,,,,,,RA-16,1
NAO_INFORMADO,Masculino,2022,Escola Pública,8.068,8.8,10.0,7.5,7.8,9.0,6.5,,8.292,5.0,-1.0,2022,,,,,,,,,,RA-17,1
NAO_INFORMADO,Masculino,2022,Escola Pública,7.226,6.3,8.7,6.3,9.0,9.0,9.0,,6.875,5.0,-1.0,2022,,,,,,,,,,RA-18,1
NAO_INFORMADO,Feminino,2022,Escola Pública,7.665,7.9,9.5,7.5,8.0,7.0,9.0,,7.0,5.0,-1.0,2022,,,,,,,,,,RA-19,1
NAO_INFORMADO,Feminino,2022,Escola Pública,7.535,7.1,10.0,6.3,7.8,9.0,6.5,,7.167,5.0,-1.0,2022,,,,,,,,,,RA-20,1
NAO_INFORMADO,Masculino,2022,Escola Pública,6.945,9.6,9.2,7.5,3.8,7.0,0.5,,7.25,5.0,-1.0,2022,,,,,,,,,,RA-21,1
NAO_INFORMADO,Feminino,2019,Rede Decisão,7.474,8.3,7.4,8.1,6.7,9.0,3.1,7.8,8.833,5.0,-1.0,2022,,,,,,,,,,RA-22,1
NAO_INFORMADO,Masculino,2021,Escola Pública,7.677,8.3,8.2,8.1,6.7,7.2,4.7,8.2,8.556,5.0,-1.0,2022,,,,,,,,,,RA-23,1
NAO_INFORMADO,Feminino,2021,Rede Decisão,8.087,9.2,7.9,6.9,8.6,10.0,6.3,9.7,9.111,5.0,-1.0,2022,,,,,,,,,,RA-24,1
NAO_INFORMADO,Feminino,2021,Escola Pública,7.979,8.3,8.3,8.8,6.9,9.2,3.8,7.7,9.667,5.0,-1.0,2022,,,,,,,,,,RA-25,1
